LandProvince,SeaZone,x,y,
3,2503,1704.58,2337.799,
4,2504,1735.213,2319.156,
5,2504,1761.457,2313.18,
6,2504,1798.346,2300.459,
7,2502,1823.694,2271.843,
9,2502,1840.5,2265.5,
10,2502,1874.391,2247.169,
11,2502,1878.365,2239.689,
12,2505,1918,2211,
13,2505,1934.702,2196.884,
14,2503,1665.118,2375.97,
15,2503,1685,2361,
17,2546,1645.167,2399.463,
22,2546,1633,2408,
29,2529,1845.427,2399.946,
35,2529,1870,2383,
36,2529,1906.524,2377.578,
38,2530,1936,2345,
39,2530,1950.44,2333.668,
50,2530,1945.156,2358.228,
51,2505,1937.708,2183.929,
52,2522,1988,2192,
54,2522,2003.5,2235,
55,2522,2012.251,2251.25,
56,2522,2033,2248,
57,2532,2083.566,2274.724,
58,2530,1967.634,2326.819,
61,2522,1995.656,2219.15,
62,2522,2069.745,2240.557,
63,2513,2097.647,2205.544,
64,2513,2117.5,2215,
65,2533,2109.673,2252.347,
66,2531,2016.224,2309.651,
67,2531,2040.282,2294.222,
69,2531,1989.294,2318.15,
72,2501,1944.5,2021.8,
73,2514,1977,2042,
74,2510,2003.646,2077.454,
75,2505,1959.877,2094.36,
76,2505,1972.074,2110.613,
77,2505,1951.404,2160.357,
78,2511,2039,2129,
79,2511,2015.367,2172.46,
80,2501,1930.451,2035.584,
81,2501,1923.249,2023.231,
82,2518,1906.195,1976.612,
84,2518,1910.933,1922.281,
85,2519,1849.479,1936.193,
86,2519,1815.495,1944.004,
91,2520,1768.557,1972.648,
93,2520,1747.225,1981.158,
94,2517,1715.959,1997.164,
95,2521,1744.594,2025.455,
96,2506,1778.33,2039.08,
97,2506,1800.994,2022.019,
98,2506,1828.461,2026.304,
99,2500,1880.841,2040.423,
100,2506,1857.296,2028.446,
101,2516,1869.576,1914.85,
106,2528,1821,2418,
108,2528,1799.906,2449.056,
111,2528,1794.002,2467.095,
112,2546,1607.734,2429.076,
114,2546,1586.927,2452.369,
117,2527,1776,2508,
121,2527,1747.119,2531.718,
126,2546,1579.191,2457.64,
127,2546,1560.392,2438.63,
128,2547,1569,2488,
133,2509,1709.797,2556.564,
136,2547,1557,2510,
137,2547,1548.204,2543.603,
141,2548,1517,2562,
142,2508,1686.288,2589.139,
143,2507,1682.8,2660.292,
144,2508,1680.231,2619.085,
145,2508,1683.669,2625.356,
156,2588,2967.643,1995.932,
161,2588,2990.309,2012.476,
162,2587,3007.789,2028.862,
164,2587,3010.539,2039.599,
